qValue,rValue,sValue
0.0035,11.0805275,2.02361567
0.003620549,14.2460157,2.60179024
0.00374525,11.368341,1.1014222
0.003874246,9.46214805,0.706869032
0.004007685,11.2647868,1.5253917
0.00414572,12.2386847,1.12563444
0.004288509,11.0639922,0.61056618
0.004436216,8.61937259,0.485768561
0.004589011,8.17450648,0.670004621
0.004747068,7.44756715,0.482341978
0.00491057,6.58610118,0.363813249
0.005079702,5.94380039,0.327940671
0.00525466,5.15615549,0.333584296
0.005435644,4.52360264,0.221256204
0.005622862,4.09490749,0.216336835
0.005816528,3.56080242,0.188025952
0.006016864,3.13521772,0.143331344
0.0062241,2.7473826,0.129862396
0.006438474,2.49829324,0.126814986
0.006660232,2.18070579,0.089208879
0.006889627,1.99189487,0.101054756
0.007126923,1.74656998,0.066634135
0.007372393,1.56908659,0.071745925
0.007626317,1.42967691,0.057081272
0.007888987,1.25560358,0.043410339
0.008160704,1.13844859,0.049101465
0.00844178,1.01539948,0.033371632
0.008732536,0.921439784,0.032459404
0.009033307,0.830441165,0.027741495
0.009344437,0.762889904,0.028505776
0.009666284,0.686972974,0.019645187
0.009999216,0.616796321,0.01857463
0.010343614,0.562527385,0.017172742
0.010699875,0.513525889,0.014351698
0.011068406,0.472793559,0.013706437
0.01144963,0.433024255,0.011582508
0.011843985,0.398850508,0.010345646
0.012251922,0.370880244,0.009622923
0.01267391,0.343516027,0.008424433
0.013110432,0.319416088,0.007445756
0.013561989,0.296527166,0.006601427
0.014029099,0.275880035,0.0063355
0.014512297,0.259867356,0.005668372
0.015012137,0.245415994,0.005140386
0.015529194,0.230091443,0.004411662
0.016064059,0.217259462,0.003901162
0.016617347,0.206194689,0.003555165
0.017189691,0.198240713,0.003217249
0.017781748,0.189512973,0.003049641
0.018394197,0.182016259,0.002693827
0.01902774,0.175582228,0.002481787
0.019683105,0.169441229,0.00229684
0.020361041,0.165441763,0.002201254
0.021062328,0.160382437,0.002036325
0.021787768,0.157731697,0.0019533
0.022538195,0.153234946,0.001747233
0.023314468,0.150545883,0.001697126
0.024117478,0.148125632,0.00159769
0.024948146,0.145464805,0.001508246
0.025807424,0.142973435,0.001451058
0.026696298,0.141015705,0.001353718
0.027615787,0.138894124,0.001321175
0.028566946,0.136673305,0.001327642
0.029550865,0.134710645,0.001235806
0.030568673,0.132433828,0.001223727
0.031621536,0.130472629,0.001148397
0.032710663,0.128454347,0.001122111
0.033837302,0.126041759,0.001084359
0.035002746,0.12332074,0.001096392
0.03620833,0.120546684,0.001031245
0.037455438,0.117582099,0.00095465
0.0387455,0.114721234,0.00091865
0.040079994,0.111092068,0.000855213
0.041460452,0.107272398,0.000809251
0.042888456,0.103565337,0.000738254
0.044365645,0.099795939,0.000693379
0.045893712,0.095877162,0.000638108
0.047474409,0.092305665,0.00059553
0.049109549,0.088673945,0.000556143
0.050801008,0.085607142,0.00052662
0.052550725,0.082649545,0.000520792
0.054360707,0.080724877,0.000494661
0.05623303,0.079019626,0.000459222
0.05816984,0.077654511,0.000429455
0.060173358,0.077074217,0.000412607
0.062245883,0.076833998,0.000395159
0.064389791,0.0767439,0.000380356
0.066607541,0.07689427,0.00037182
0.068901676,0.076885514,0.000361937
0.071274826,0.076489477,0.000367392
0.073729714,0.076085938,0.000346264
0.076269155,0.075398942,0.000324856
0.07889606,0.074400618,0.000308092
0.081613443,0.073409579,0.000293653
0.08442442,0.072468591,0.000279955
0.087332213,0.071580876,0.000265545
0.090340159,0.071034604,0.000257521
0.093451706,0.070801107,0.000246458
0.096670423,0.070631668,0.000238273
0.1,0.070629141,0.000259844
0.102,0.070549659,0.000295955
0.104,0.070375554,0.000294786
0.106,0.070433766,0.000307826
0.108,0.070268188,0.000307497
0.11,0.070019791,0.000310485
0.112,0.069915936,0.000313707
0.114,0.069796121,0.000315216
0.116,0.0696582,0.000314724
0.118,0.069341679,0.000315753
0.12,0.069156705,0.000308936
0.122,0.068880973,0.000294723
0.124,0.068566048,0.000286232
0.126,0.068388921,0.000282215
0.128,0.068287904,0.000276298
0.13,0.06825551,0.000272283
0.132,0.067854777,0.00026632
0.134,0.067930603,0.000263982
0.136,0.067691474,0.000259891
0.138,0.067610361,0.000257601
0.14,0.067381607,0.000264965
0.142,0.067236373,0.00027892
0.144,0.067105498,0.000285212
0.146,0.067075326,0.000274457
0.148,0.066823717,0.00025987
0.15,0.0668554,0.00025155
0.152,0.066708915,0.000246394
0.154,0.06668083,0.000244167
0.156,0.066734661,0.000243079
0.158,0.066764896,0.000240657
0.16,0.066609479,0.000239113
0.162,0.066573247,0.000237103
0.164,0.066523708,0.000235107
0.166,0.066584676,0.000233086
0.168,0.066388204,0.000230391
0.17,0.066280133,0.000228758
0.172,0.066235479,0.000226635
0.174,0.066147283,0.000231549
0.176,0.066009483,0.000233919
0.178,0.065839078,0.000226231
0.18,0.06565829,0.000232212
0.182,0.065504119,0.000222968
0.184,0.065466579,0.000217986
0.186,0.065293765,0.000216596
0.188,0.065093218,0.000214701
0.19,0.064935852,0.00021421
0.192,0.064966466,0.000212469
0.194,0.064738141,0.000210483
0.196,0.064717416,0.000208912
0.198,0.064447492,0.000206457
0.2,0.064395013,0.00020475
0.202,0.064307064,0.000203538
0.204,0.064195279,0.000200987
0.206,0.064130648,0.000200816
0.208,0.0640368,0.000198659
0.21,0.063942297,0.000196474
0.212,0.063917403,0.000195794
0.214,0.063768424,0.000199563
0.216,0.06365429,0.000201544
0.218,0.063587977,0.000195019
0.22,0.063537409,0.000193273
0.222,0.063511654,0.000191566
0.224,0.063354289,0.000189344
0.226,0.06337261,0.000187835
0.228,0.063326089,0.000187882
0.23,0.063317642,0.000189708
0.232,0.063163203,0.000195247
0.234,0.06317067,0.000196797
0.236,0.063125996,0.000199945
0.238,0.063095576,0.000200957
0.24,0.062983669,0.000201384
0.242,0.06295293,0.000197475
0.244,0.062872279,0.000191476
0.246,0.062854507,0.00018987
0.248,0.062810737,0.000188095
0.25,0.062789547,0.000194592
0.252,0.062650603,0.000188002
0.254,0.062649168,0.000184933
0.256,0.062581522,0.000182416
0.258,0.062537949,0.00018162
0.26,0.062485188,0.00017969
0.262,0.062475548,0.000179144
0.264,0.062383979,0.000177272
0.266,0.06231197,0.000176391
0.268,0.062253481,0.00017494
0.27,0.062241189,0.000173629
0.272,0.062205738,0.000170918
0.274,0.062126938,0.000169714
0.276,0.061983846,0.000168271
0.278,0.062008588,0.000168322
0.28,0.061915271,0.000167944
0.282,0.061926988,0.000168325
0.284,0.061775488,0.000170482
0.286,0.061764671,0.000172536
0.288,0.061680437,0.000167495
0.29,0.061597426,0.000165954
0.292,0.061601722,0.000164772
0.294,0.061518909,0.000163581
0.296,0.061514454,0.000166454
0.298,0.061494697,0.000168602
0.3,0.061330378,0.000164618
0.302,0.061317065,0.000163479
0.304,0.061357623,0.000161537
0.306,0.061281635,0.000159965
0.308,0.061259941,0.000159685
0.31,0.06107116,0.000159077
0.312,0.061118631,0.000158504
0.314,0.06106915,0.000156901
0.316,0.061013057,0.000155913
0.318,0.060980073,0.0001558
0.32,0.060875389,0.000160506
0.322,0.060859575,0.00015689
0.324,0.060858092,0.000155183
0.326,0.060823018,0.000154513
0.328,0.060775116,0.000153026
0.33,0.060741255,0.00015219
0.332,0.060675359,0.000151701
0.334,0.060659623,0.000150993
0.336,0.060648686,0.000150492
0.338,0.060588782,0.000149043
0.34,0.060485845,0.00014795
0.342,0.06048564,0.000148051
0.344,0.06049398,0.000147492
0.346,0.060489606,0.000146716
0.348,0.060418721,0.000146311
0.35,0.060331624,0.000145987
0.352,0.060388105,0.000147492
0.354,0.060228782,0.000152969
0.356,0.06017086,0.000157938
0.358,0.06023534,0.000156089
0.36,0.060197789,0.000156048
0.362,0.060144521,0.000157307
0.364,0.060150975,0.000154864
0.366,0.060032196,0.000150655
0.368,0.060003193,0.000148321
0.37,0.060022285,0.000147446
0.372,0.059902935,0.000145151
0.374,0.059864591,0.000144939
0.376,0.059891597,0.000144631
0.378,0.059780943,0.00014358
0.38,0.05980641,0.000142483
0.382,0.059779982,0.00014177
0.384,0.059690374,0.000140812
0.386,0.059705088,0.000140008
0.388,0.059621804,0.000139267
0.39,0.059616498,0.000143757
0.392,0.059473681,0.000141286
0.394,0.059557166,0.000139561
0.396,0.059442056,0.000138494
0.398,0.059397494,0.000138281
0.4,0.05937013,0.000137683
0.402,0.059409948,0.000138023
0.404,0.059257335,0.000136806
0.406,0.059294741,0.000136273
0.408,0.059246895,0.000136113
0.41,0.059300838,0.000136134
0.412,0.059238516,0.00013524
0.414,0.059163224,0.000134712
0.416,0.059126449,0.000134032
0.418,0.059187882,0.000136773
0.42,0.059103595,0.000138074
0.422,0.059135444,0.000136123
0.424,0.059037659,0.00013628
0.426,0.059030155,0.000138816
0.428,0.05899746,0.000140069
0.43,0.058974952,0.000141685
0.432,0.058910944,0.000141864
0.434,0.058850167,0.000143019
0.436,0.058819199,0.000143174
0.438,0.058799599,0.000143811
0.44,0.058757397,0.000142817
0.442,0.05873492,0.000142774
0.444,0.058696726,0.000143633
0.446,0.058733652,0.000144511
0.448,0.058702954,0.000144973
0.45,0.058675373,0.0001452
0.452,0.058704692,0.0001453
0.454,0.058611975,0.000144772
0.456,0.05863714,0.000145324
0.458,0.058626973,0.000145582
0.46,0.058617234,0.000146221
0.462,0.058552667,0.000145906
0.464,0.058515684,0.000146993
0.466,0.058577747,0.000147136
0.468,0.058503408,0.000147567
0.47,0.058504795,0.00014702
0.472,0.058542856,0.000147848
0.474,0.058534704,0.000151372
0.476,0.058461467,0.000156332
0.478,0.05843982,0.000159429
0.48,0.058537314,0.000162571
0.482,0.058533876,0.000165057
0.484,0.058488016,0.000167145
0.486,0.058505092,0.000163345
0.488,0.058572946,0.00015921
0.49,0.058503869,0.000157254
0.492,0.05846302,0.000157321
0.494,0.05843395,0.000155675
0.496,0.058508181,0.000155469
0.498,0.058470754,0.000154614
0.5,0.05851694,0.00012592
0.504,0.058470718,0.00010885
0.508,0.05847065,0.000109299
0.512,0.058461303,0.00010955
0.516,0.058507773,0.000109628
0.52,0.058572116,0.000109238
0.524,0.058523419,0.000108925
0.528,0.058624773,0.000108929
0.532,0.058623936,0.000109372
0.536,0.058613521,0.000109544
0.54,0.058641996,0.000113874
0.544,0.058639851,0.000113074
0.548,0.058656691,0.000112162
0.552,0.058735718,0.000111224
0.556,0.058837984,0.00011001
0.56,0.058887236,0.000109437
0.564,0.058903035,0.000109858
0.568,0.058998594,0.000110027
0.572,0.058990312,0.000109671
0.576,0.059002284,0.000109822
0.58,0.059072341,0.000110202
0.584,0.059049791,0.000110289
0.588,0.059149956,0.000110437
0.592,0.059175157,0.00011037
0.596,0.059223259,0.000114523
0.6,0.059273732,0.000121682
0.604,0.059389076,0.000127036
0.608,0.059359356,0.000124419
0.612,0.059383426,0.000119399
0.616,0.059351387,0.000117497
0.62,0.059390184,0.000116711
0.624,0.059415606,0.000116839
0.628,0.059478878,0.000116645
0.632,0.059548878,0.000116492
0.636,0.059609858,0.00011591
0.64,0.059634335,0.00011451
0.644,0.059761682,0.00011362
0.648,0.059771035,0.000113585
0.652,0.059836215,0.000113499
0.656,0.059899084,0.000113705
0.66,0.060018552,0.000116586
0.664,0.060077694,0.000118899
0.668,0.060043464,0.000116548
0.672,0.060159141,0.000116454
0.676,0.06022507,0.000115331
0.68,0.060196376,0.000115573
0.684,0.060180047,0.000115206
0.688,0.060163221,0.000115044
0.692,0.060127795,0.000114414
0.696,0.060154109,0.000114147
0.7,0.060187498,0.0001145
0.704,0.060119542,0.000114377
0.708,0.060126014,0.000114341
0.712,0.060096502,0.000114118
0.716,0.060157192,0.00011739
0.72,0.06045002,0.000127085
0.724,0.060611186,0.000134278
0.728,0.06047464,0.000134023
0.732,0.060027762,0.000123899
0.736,0.05974257,0.000119862
0.74,0.059433562,0.000117325
0.744,0.058991766,0.000116559
0.748,0.058615128,0.000114762
0.752,0.058049352,0.000113615
0.756,0.058611647,0.000123273
0.76,0.059051116,0.000132253
0.764,0.059358919,0.000138682
0.768,0.059415893,0.00014368
0.772,0.05944864,0.000149473
0.776,0.059512804,0.00015527
0.78,0.059441114,0.000160978
0.784,0.059547074,0.00016589
