qValue,rValue,sValue
0.0035,10.9317939,1.99637719
0.003620549,14.0837542,2.57188601
0.00374525,11.3154918,1.09091431
0.003874246,9.42555736,0.702349796
0.004007685,11.2453022,1.52170745
0.00414572,12.1130464,1.11318806
0.004288509,11.0323111,0.60874706
0.004436216,8.68078179,0.489016405
0.004589011,8.18589373,0.670481599
0.004747068,7.49099153,0.48517481
0.00491057,6.64627516,0.367138657
0.005079702,5.98302038,0.330099029
0.00525466,5.19313567,0.33591906
0.005435644,4.59867164,0.224868021
0.005622862,4.15603786,0.219524718
0.005816528,3.62994655,0.191718521
0.006016864,3.21464426,0.146989656
0.0062241,2.82880011,0.133682786
0.006438474,2.57433692,0.130686518
0.006660232,2.26636532,0.09270053
0.006889627,2.08848114,0.105938136
0.007126923,1.82600917,0.069639764
0.007372393,1.65057523,0.075487593
0.007626317,1.50351196,0.060018984
0.007888987,1.33177394,0.046043335
0.008160704,1.21282813,0.052296108
0.00844178,1.09974533,0.036139332
0.008732536,0.992515644,0.034959199
0.009033307,0.901206857,0.030109317
0.009344437,0.835883243,0.031220707
0.009666284,0.759561614,0.021717279
0.009999216,0.684434372,0.020605956
0.010343614,0.630795548,0.019261355
0.010699875,0.579845176,0.016201798
0.011068406,0.538000212,0.015587192
0.01144963,0.495209726,0.013240362
0.011843985,0.459597074,0.011922058
0.012251922,0.428297029,0.011108588
0.01267391,0.402711316,0.009868575
0.013110432,0.375254907,0.00874119
0.013561989,0.351832198,0.007828181
0.014029099,0.332774268,0.007634706
0.014512297,0.314462523,0.006852265
0.015012137,0.298887143,0.00625656
0.015529194,0.282716213,0.005415795
0.016064059,0.270171261,0.004845356
0.016617347,0.257843571,0.004440062
0.017189691,0.248360683,0.004024275
0.017781748,0.240360861,0.003862239
0.018394197,0.232746648,0.003437905
0.01902774,0.225645172,0.003184238
0.019683105,0.220798257,0.002987583
0.020361041,0.215124517,0.002857885
0.021062328,0.210954316,0.002673507
0.021787768,0.207052985,0.002559082
0.022538195,0.203573596,0.002315872
0.023314468,0.200469516,0.002254876
0.024117478,0.198044177,0.002130806
0.024948146,0.195058902,0.002018201
0.025807424,0.192553075,0.001949491
0.026696298,0.189896231,0.001818291
0.027615787,0.187609176,0.001780164
0.028566946,0.18484778,0.001790852
0.029550865,0.181490768,0.001660158
0.030568673,0.178275639,0.001642941
0.031621536,0.174969174,0.001536636
0.032710663,0.171777041,0.001496733
0.033837302,0.168464334,0.001445584
0.035002746,0.164363254,0.001457103
0.03620833,0.160023251,0.001364987
0.037455438,0.155319764,0.001257547
0.0387455,0.150919755,0.001205072
0.040079994,0.145408909,0.001116274
0.041460452,0.139009542,0.001045749
0.042888456,0.132908694,0.000944831
0.044365645,0.126319709,0.000875511
0.045893712,0.120026012,0.000796846
0.047474409,0.113185953,0.000728086
0.049109549,0.107029571,0.000669599
0.050801008,0.101102087,0.000620551
0.052550725,0.096137386,0.000604668
0.054360707,0.092088151,0.000563594
0.05623303,0.088687375,0.000514834
0.05816984,0.086346928,0.000477042
0.060173358,0.085317478,0.000456388
0.062245883,0.084824127,0.000435867
0.064389791,0.08492827,0.000420556
0.066607541,0.085239851,0.000411717
0.068901676,0.085677395,0.000402991
0.071274826,0.085294016,0.000409145
0.073729714,0.084723472,0.000385235
0.076269155,0.083712643,0.000360322
0.07889606,0.082115287,0.000339694
0.081613443,0.080259963,0.000320798
0.08442442,0.078335014,0.000302513
0.087332213,0.076808516,0.000284778
0.090340159,0.075749281,0.000274568
0.093451706,0.075294479,0.000262025
0.096670423,0.075159948,0.000253556
0.1,0.075073585,0.000276135
0.102,0.075235733,0.000315505
0.104,0.075031416,0.000314313
0.106,0.074901162,0.000327314
0.108,0.074854039,0.000327371
0.11,0.074533608,0.000330422
0.112,0.074257556,0.000333168
0.114,0.073942068,0.000333881
0.116,0.073574962,0.000332296
0.118,0.073188869,0.000333333
0.12,0.072844603,0.000325388
0.122,0.072307312,0.000309342
