qValue,rValue,sValue
0.0035,10.9753994,2.00434835
0.003620549,14.0077135,2.55828332
0.00374525,11.3526414,1.09500605
0.003874246,9.43180169,0.702975499
0.004007685,11.2823945,1.52519705
0.00414572,12.110393,1.11310902
0.004288509,11.0376425,0.608993545
0.004436216,8.69662207,0.49020839
0.004589011,8.18111604,0.669891031
0.004747068,7.45025919,0.482610372
0.00491057,6.64507408,0.367064024
0.005079702,5.98942801,0.330418568
0.00525466,5.20353551,0.336547628
0.005435644,4.60378597,0.225083715
0.005622862,4.15586847,0.219514692
0.005816528,3.62379437,0.191351683
0.006016864,3.20545576,0.146552538
0.0062241,2.83043031,0.133780091
0.006438474,2.57530815,0.130699628
0.006660232,2.25577762,0.09225837
0.006889627,2.07319957,0.105168081
0.007126923,1.83446666,0.069960556
0.007372393,1.65117845,0.075503018
0.007626317,1.50424083,0.060044179
0.007888987,1.33520132,0.046168078
0.008160704,1.21725503,0.052479454
0.00844178,1.09645856,0.036029543
0.008732536,0.991844134,0.03492901
0.009033307,0.897646041,0.029991505
0.009344437,0.832670636,0.031112242
0.009666284,0.758965944,0.021703911
0.009999216,0.687817622,0.020706001
0.010343614,0.633430898,0.019335165
0.010699875,0.582426997,0.016271892
0.011068406,0.540936606,0.015674206
0.01144963,0.499662353,0.01335594
0.011843985,0.462552326,0.011994628
0.012251922,0.432900042,0.011226252
0.01267391,0.405609294,0.009939263
0.013110432,0.379254207,0.008835199
0.013561989,0.352729911,0.007849744
0.014029099,0.334002355,0.007664116
0.014512297,0.317632785,0.00692193
0.015012137,0.29989918,0.00627703
0.015529194,0.286189377,0.005479533
0.016064059,0.2732324,0.00490063
0.016617347,0.260795633,0.004489629
0.017189691,0.252423668,0.004090004
0.017781748,0.2447513,0.003932195
0.018394197,0.236599384,0.003496047
0.01902774,0.231022885,0.0032591
0.019683105,0.224856133,0.003041871
0.020361041,0.220048805,0.002921697
0.021062328,0.216444592,0.002742256
0.021787768,0.212606195,0.002626508
0.022538195,0.210017848,0.002389047
0.023314468,0.206709093,0.002324545
0.024117478,0.204161603,0.002195907
0.024948146,0.201158523,0.002080487
0.025807424,0.198323515,0.002007896
0.026696298,0.195984343,0.00187666
0.027615787,0.193600939,0.001836706
0.028566946,0.190688434,0.001846342
0.029550865,0.187450119,0.00171405
0.030568673,0.184266333,0.001697612
0.031621536,0.181347836,0.00159139
0.032710663,0.177701473,0.001548027
0.033837302,0.173869794,0.001491707
0.035002746,0.170451955,0.001510302
0.03620833,0.165941495,0.001414864
0.037455438,0.161154869,0.001304241
0.0387455,0.156160807,0.001246527
0.040079994,0.150134998,0.001152371
0.041460452,0.143972703,0.001082285
0.042888456,0.13710812,0.000974231
0.044365645,0.130167137,0.000901997
0.045893712,0.122753751,0.000814847
0.047474409,0.116199702,0.000747139
0.049109549,0.109111976,0.000682516
0.050801008,0.103125817,0.000632889
0.052550725,0.097529476,0.000613462
0.054360707,0.093075966,0.000569303
0.05623303,0.089976318,0.000522092
0.05816984,0.087476452,0.000483133
0.060173358,0.086145285,0.000460584
0.062245883,0.085684039,0.000440167
0.064389791,0.085975016,0.000425612
0.066607541,0.086481554,0.000417703
0.068901676,0.0868581,0.000408356
0.071274826,0.086560701,0.000415202
0.073729714,0.085911841,0.000390542
0.076269155,0.084709177,0.000364527
0.07889606,0.083019018,0.000343271
0.081613443,0.081030495,0.000323817
0.08442442,0.079047558,0.000305216
0.087332213,0.077517129,0.000287333
0.090340159,0.076339822,0.000276645
0.093451706,0.075672145,0.000263307
0.096670423,0.075608649,0.000255013
0.1,0.075602342,0.000278031
0.102,0.075602241,0.000317017
0.104,0.075663262,0.000316815
0.106,0.07551692,0.000329993
0.108,0.075357652,0.000329515
0.11,0.075096797,0.000332806
0.112,0.074752758,0.000335275
0.114,0.074432084,0.000336045
0.116,0.074127468,0.00033476
0.118,0.073691047,0.000335535
0.12,0.07330724,0.000327404
0.122,0.072867231,0.000311764
0.124,0.072501742,0.000302614
0.126,0.072280397,0.000298133
0.128,0.071977572,0.000291158
0.13,0.071663813,0.000285873
0.132,0.071578796,0.000281003
0.134,0.071212519,0.000276729
0.136,0.070995557,0.000272548
0.138,0.070670982,0.000269276
0.14,0.070560795,0.00027753
