qValue,rValue,sValue
0.0035,11.2580991,2.05602466
0.003620549,14.2414704,2.60060353
0.00374525,11.330001,1.10010718
0.003874246,9.44666136,0.703989883
0.004007685,11.321719,1.52901506
0.00414572,12.3098169,1.13284508
0.004288509,11.1468599,0.615055721
0.004436216,8.63845513,0.486518336
0.004589011,8.20205874,0.672030156
0.004747068,7.47400181,0.48388493
0.00491057,6.64320572,0.366977749
0.005079702,5.94869335,0.328146953
0.00525466,5.18059237,0.335048626
0.005435644,4.54906452,0.222426486
0.005622862,4.13683097,0.218503328
0.005816528,3.59477593,0.18975054
0.006016864,3.16661412,0.144747943
0.0062241,2.7914917,0.131935504
0.006438474,2.55514379,0.129661662
0.006660232,2.21469575,0.090583367
0.006889627,2.03875115,0.103391947
0.007126923,1.79728183,0.068546186
0.007372393,1.6114866,0.073679386
0.007626317,1.47101759,0.058703414
0.007888987,1.29957257,0.044932816
0.008160704,1.18653445,0.051153547
0.00844178,1.06555144,0.035023062
0.008732536,0.967767863,0.034087645
0.009033307,0.874509671,0.029226928
0.009344437,0.810027979,0.030253061
0.009666284,0.734948403,0.021009092
0.009999216,0.662766445,0.019951546
0.010343614,0.610560309,0.018632542
0.010699875,0.559441964,0.015628857
0.011068406,0.517987705,0.015008983
0.01144963,0.47599388,0.012724532
0.011843985,0.441792444,0.011452242
0.012251922,0.411821165,0.010681554
0.01267391,0.384614407,0.009425834
0.013110432,0.357391236,0.008325157
0.013561989,0.333243846,0.007414631
0.014029099,0.313460938,0.007192776
0.014512297,0.297178514,0.006473663
0.015012137,0.279234931,0.005844159
0.015529194,0.265941261,0.00509318
0.016064059,0.252306565,0.004524666
0.016617347,0.24081855,0.004145106
0.017189691,0.231779468,0.00375581
0.017781748,0.222732579,0.003578726
0.018394197,0.215862111,0.003189918
0.01902774,0.209180985,0.002951959
0.019683105,0.203582763,0.00275452
0.020361041,0.199101471,0.002644664
0.021062328,0.195315702,0.002475061
0.021787768,0.1920034,0.002372323
0.022538195,0.18924332,0.002152856
0.023314468,0.187375413,0.002107852
0.024117478,0.184777469,0.001988167
0.024948146,0.18335836,0.001896611
0.025807424,0.181998652,0.001842324
0.026696298,0.180586066,0.001729246
0.027615787,0.17871872,0.001695317
0.028566946,0.177407037,0.001717937
0.029550865,0.174511596,0.001595747
0.030568673,0.173105987,0.001595013
0.031621536,0.170536786,0.001496742
0.032710663,0.167935815,0.00146225
0.033837302,0.165186999,0.001416918
0.035002746,0.162256255,0.001437793
0.03620833,0.158322435,0.001349864
0.037455438,0.154417038,0.001249338
0.0387455,0.149426088,0.001192135
