qValue,rValue,sValue
0.0035,11.0304114,2.04856973
0.003620549,14.189143,2.63527195
0.00374525,11.4216018,1.12204243
0.003874246,9.51124086,0.720203786
0.004007685,11.3248661,1.55713766
0.00414572,12.2082908,1.14082609
0.004288509,11.1247044,0.624178377
0.004436216,8.7713182,0.502570618
0.004589011,8.22366231,0.684963467
0.004747068,7.53740748,0.496475016
0.00491057,6.69700099,0.376135881
0.005079702,6.02741979,0.338135892
0.00525466,5.26194798,0.346110228
0.005435644,4.64748529,0.23110227
0.005622862,4.19796903,0.225460149
0.005816528,3.65778323,0.196414238
0.006016864,3.24378434,0.150812376
0.0062241,2.85844355,0.137396339
0.006438474,2.61235476,0.134827859
0.006660232,2.28475035,0.095033574
0.006889627,2.1042276,0.108547305
0.007126923,1.84893435,0.071708866
0.007372393,1.67970456,0.078103266
0.007626317,1.52562227,0.061931462
0.007888987,1.34735091,0.047376801
0.008160704,1.23162634,0.054015021
0.00844178,1.11746935,0.037348177
0.008732536,1.01023294,0.036186374
0.009033307,0.919048261,0.031228859
0.009344437,0.8496441,0.032276694
0.009666284,0.775648281,0.022556086
0.009999216,0.699555722,0.021418449
0.010343614,0.645248363,0.020030941
0.010699875,0.594487335,0.016888912
0.011068406,0.547993573,0.01614426
0.01144963,0.506877097,0.013777608
0.011843985,0.473201131,0.012476515
0.012251922,0.441790024,0.01165192
0.01267391,0.41371111,0.010310819
0.013110432,0.387490572,0.009182619
0.013561989,0.363763521,0.008233003
0.014029099,0.34356022,0.008015107
0.014512297,0.32489552,0.007197453
0.015012137,0.308896814,0.006576601
0.015529194,0.293404886,0.005713898
0.016064059,0.280487699,0.005114694
0.016617347,0.268947468,0.004707432
0.017189691,0.260781075,0.004295808
0.017781748,0.251431821,0.004106892
0.018394197,0.245495255,0.003687844
0.01902774,0.238607226,0.003422341
0.019683105,0.233064846,0.003205414
0.020361041,0.22898548,0.003091534
0.021062328,0.225167616,0.002900817
0.021787768,0.221914339,0.002786757
0.022538195,0.21944761,0.002536733
0.023314468,0.216254406,0.002472386
0.024117478,0.213386121,0.002333397
0.024948146,0.210172546,0.002209828
0.025807424,0.208087077,0.002141065
0.026696298,0.205534476,0.002000553
0.027615787,0.202469138,0.001952597
0.028566946,0.199899391,0.001967944
0.029550865,0.196628203,0.001827721
0.030568673,0.193470108,0.001812278
0.031621536,0.190073283,0.001696063
0.032710663,0.186304843,0.001649407
0.033837302,0.182439601,0.001590728
0.035002746,0.17821534,0.001605474
0.03620833,0.173768275,0.001505883
0.037455438,0.168389232,0.001385199
0.0387455,0.16319863,0.001323962
0.040079994,0.156388986,0.001220089
0.041460452,0.150000449,0.001146267
0.042888456,0.142530886,0.001029572
0.044365645,0.13515884,0.000951853
0.045893712,0.127284912,0.000858703
0.047474409,0.119656564,0.000782407
0.049109549,0.112303464,0.000714103
0.050801008,0.105483872,0.000657977
0.052550725,0.099839399,0.000638196
0.054360707,0.094523436,0.000587827
0.05623303,0.09111074,0.000537432
0.05816984,0.088598673,0.000497487
0.060173358,0.08738583,0.000475083
0.062245883,0.08675881,0.000453001
0.064389791,0.087145933,0.000438529
0.066607541,0.087654001,0.000430261
0.068901676,0.08806169,0.000420848
0.071274826,0.087976334,0.000428896
0.073729714,0.087322042,0.000403523
0.076269155,0.08634134,0.00037752
0.07889606,0.084128027,0.000353633
0.081613443,0.082127315,0.000333628
0.08442442,0.080014844,0.000313987
0.087332213,0.078053582,0.00029424
0.090340159,0.076869214,0.000283204
0.093451706,0.076061125,0.000269094
0.096670423,0.076087244,0.000260845
0.1,0.076232505,0.00028496
0.102,0.076337043,0.000325355
0.104,0.076328523,0.000324904
0.106,0.076081613,0.000337941
0.108,0.075851994,0.000337233
0.11,0.075647415,0.000340889
0.112,0.075289634,0.000343334
0.114,0.074833322,0.000343488
0.116,0.074636207,0.000342724
0.118,0.074085129,0.000342942
0.12,0.073760577,0.000334901
0.122,0.073183393,0.000318208
0.124,0.072786824,0.000308921
0.126,0.072644234,0.000304654
0.128,0.072249996,0.000297165
0.13,0.07197088,0.000291911
0.132,0.071839408,0.000286568
