qValue,rValue,sValue
0.0035,11.2457156,2.05377631
0.003620549,14.3252216,2.61623816
0.00374525,11.3167277,1.09939551
0.003874246,9.48360253,0.707526706
0.004007685,11.4452478,1.54533498
0.00414572,12.4094849,1.14446682
0.004288509,11.2181793,0.620116488
0.004436216,8.67140453,0.488638599
0.004589011,8.25669138,0.677430282
0.004747068,7.55394057,0.49019615
0.00491057,6.64909586,0.367329646
0.005079702,5.98470439,0.330394395
0.00525466,5.22010015,0.338325026
0.005435644,4.56125221,0.22340624
0.005622862,4.14695931,0.219253164
0.005816528,3.62130912,0.191569042
0.006016864,3.17251167,0.14512449
0.0062241,2.79283783,0.132025265
0.006438474,2.54716847,0.129457881
0.006660232,2.22391812,0.09103862
0.006889627,2.04738401,0.10395283
0.007126923,1.80502922,0.068946312
0.007372393,1.61880925,0.074059411
0.007626317,1.48653208,0.059404765
0.007888987,1.30323564,0.045069167
0.008160704,1.19662174,0.051679378
0.00844178,1.0688845,0.035134966
0.008732536,0.975137963,0.034380242
0.009033307,0.875768814,0.029273276
0.009344437,0.811971988,0.030353327
0.009666284,0.735269308,0.021025774
0.009999216,0.666970222,0.020089635
0.010343614,0.61264351,0.018703933
0.010699875,0.561875257,0.015703128
0.011068406,0.51990139,0.015066337
0.01144963,0.479556275,0.012820328
0.011843985,0.442132186,0.011463774
0.012251922,0.412299963,0.010693429
0.01267391,0.386413738,0.009471591
0.013110432,0.358221217,0.008345727
0.013561989,0.335693456,0.007470707
0.014029099,0.314765067,0.007221753
0.014512297,0.297558177,0.006481507
0.015012137,0.280834504,0.005875973
0.015529194,0.266564466,0.005106236
0.016064059,0.25382196,0.004551957
0.016617347,0.242031415,0.004166616
0.017189691,0.232763977,0.003770546
0.017781748,0.224652182,0.00360929
0.018394197,0.217270339,0.003209401
0.01902774,0.211261228,0.00298068
0.019683105,0.205262089,0.00277619
0.020361041,0.201569568,0.002676434
0.021062328,0.198159113,0.002510382
0.021787768,0.194827087,0.002407646
0.022538195,0.192446373,0.002188786
0.023314468,0.190077457,0.002137487
0.024117478,0.188095708,0.002023525
0.024948146,0.18673459,0.001931281
0.025807424,0.184813851,0.001870565
0.026696298,0.183673307,0.001758521
0.027615787,0.182392221,0.001729938
0.028566946,0.180635997,0.001748637
