qValue,rValue,sValue
0.0035,11.19781,2.04513208
0.003620549,14.2328649,2.59908836
0.00374525,11.4182921,1.10757735
0.003874246,9.47552616,0.708192772
0.004007685,11.2390968,1.52293984
0.00414572,12.2488702,1.12659969
0.004288509,11.102531,0.612589525
0.004436216,8.63549617,0.486467155
0.004589011,8.16798356,0.6690781
0.004747068,7.43989891,0.481979719
0.00491057,6.59930401,0.364610152
0.005079702,5.95450741,0.3285296
0.00525466,5.13112257,0.331873009
0.005435644,4.53401303,0.22172739
0.005622862,4.10785233,0.216994363
0.005816528,3.56926138,0.188465565
0.006016864,3.14600141,0.143818752
0.0062241,2.76849714,0.130878818
0.006438474,2.5113155,0.127465264
0.006660232,2.19087722,0.089627217
0.006889627,2.01286252,0.102102884
0.007126923,1.76028918,0.067145007
0.007372393,1.58318006,0.072385605
0.007626317,1.43235538,0.057163844
0.007888987,1.26702304,0.043810444
0.008160704,1.14999875,0.049584552
0.00844178,1.02994809,0.033850195
0.008732536,0.927593409,0.032671887
0.009033307,0.835699786,0.027928173
0.009344437,0.770818135,0.028799461
0.009666284,0.699380152,0.020000072
0.009999216,0.624546731,0.018794792
0.010343614,0.572747633,0.017483732
0.010699875,0.522537894,0.014599292
0.011068406,0.482028098,0.013965196
0.01144963,0.440318359,0.011776833
0.011843985,0.407953342,0.010581703
0.012251922,0.378136045,0.009812629
0.01267391,0.351699887,0.008623599
0.013110432,0.325253091,0.007580638
0.013561989,0.303038714,0.006746676
0.014029099,0.284323504,0.006527271
0.014512297,0.266565209,0.005811661
0.015012137,0.251306059,0.005262721
0.015529194,0.236738294,0.004536707
0.016064059,0.224812261,0.00403683
0.016617347,0.211900396,0.003652292
0.017189691,0.203131231,0.003294628
0.017781748,0.195572228,0.003146138
0.018394197,0.187995459,0.002782204
0.01902774,0.181584618,0.002565879
0.019683105,0.175694917,0.00238049
0.020361041,0.170263026,0.002265715
0.021062328,0.166497343,0.002113275
0.021787768,0.162515108,0.002011928
0.022538195,0.159419639,0.001817154
0.023314468,0.155544782,0.001752906
0.024117478,0.153409431,0.001653795
0.024948146,0.150587758,0.001561052
0.025807424,0.148586995,0.001507034
0.026696298,0.146604514,0.001406936
0.027615787,0.144320885,0.001372542
0.028566946,0.142129783,0.001379759
0.029550865,0.140037853,0.001283698
0.030568673,0.137601346,0.001271172
0.031621536,0.135431663,0.001191382
0.032710663,0.133087156,0.001161902
0.033837302,0.130593722,0.001123496
0.035002746,0.127753624,0.001134964
0.03620833,0.124822651,0.001067226
0.037455438,0.122196163,0.000991316
0.0387455,0.118658543,0.000949755
0.040079994,0.114343585,0.000879804
0.041460452,0.110744036,0.00083463
0.042888456,0.106658998,0.000759903
0.044365645,0.102560066,0.000712318
0.045893712,0.098382706,0.000654548
0.047474409,0.094335832,0.00060806
0.049109549,0.090578838,0.000567934
0.050801008,0.087163387,0.000535871
0.052550725,0.084042489,0.00052931
0.054360707,0.081791845,0.000501049
0.05623303,0.079953781,0.000464488
0.05816984,0.078593152,0.000434662
0.060173358,0.07792703,0.000417142
0.062245883,0.07752119,0.000398544
0.064389791,0.077526562,0.000384148
0.066607541,0.077791666,0.000376176
0.068901676,0.077755566,0.000365977
0.071274826,0.077413397,0.000371744
0.073729714,0.076945269,0.000350224
0.076269155,0.076182908,0.000328183
0.07889606,0.075159463,0.000311113
0.081613443,0.074169654,0.000296608
0.08442442,0.073032189,0.000282006
0.087332213,0.072151227,0.000267607
0.090340159,0.071535045,0.000259334
0.093451706,0.071140123,0.00024761
0.096670423,0.071047404,0.000239714
0.1,0.071051313,0.000261357
0.102,0.071012163,0.000297824
0.104,0.070938662,0.000297107
0.106,0.070713983,0.000309065
0.108,0.070700831,0.000309218
0.11,0.070481044,0.00031243
0.112,0.070397806,0.00031581
0.114,0.070158411,0.000316913
0.116,0.069934448,0.000316002
0.118,0.06965375,0.00031716
0.12,0.069553539,0.000310643
0.122,0.069111639,0.00029566
0.124,0.069014305,0.000287988
0.126,0.068778945,0.000283697
0.128,0.068608463,0.000277521
0.13,0.068515801,0.000273315
0.132,0.068319701,0.000268131
0.134,0.068209052,0.00026504
0.136,0.067938486,0.000260808
0.138,0.067708831,0.000257949
0.14,0.067706439,0.000266245
0.142,0.06747515,0.000279973
0.144,0.067298995,0.000286
0.146,0.067298443,0.000275322
0.148,0.067118631,0.000260936
0.15,0.067139559,0.000252582
0.152,0.067089888,0.000247757
0.154,0.067098737,0.000245715
0.156,0.066909696,0.000243669
0.158,0.067014716,0.000241586
0.16,0.06692766,0.000240229
0.162,0.066926191,0.000238382
0.164,0.066831886,0.000236178
0.166,0.06684686,0.00023395
0.168,0.066771592,0.000231658
0.17,0.066582171,0.000229753
0.172,0.066496671,0.000227454
0.174,0.066373612,0.00023233
0.176,0.066242792,0.000234732
0.178,0.066121412,0.000227266
0.18,0.065922343,0.000233175
0.182,0.065739201,0.000223755
0.184,0.065671428,0.000218652
0.186,0.065469259,0.00021717
0.188,0.065300047,0.000215386
0.19,0.065198124,0.000215098
0.192,0.06514452,0.000213014
0.194,0.064875357,0.000210882
0.196,0.064862314,0.000209303
0.198,0.064672132,0.000207217
0.2,0.064517445,0.000205109
0.202,0.064518193,0.000204192
0.204,0.064379306,0.000201553
0.206,0.064151833,0.000200888
0.208,0.064241271,0.000199316
0.21,0.064086247,0.000196952
0.212,0.064052003,0.000196184
0.214,0.063824545,0.0001997
0.216,0.063862605,0.000202187
0.218,0.063788761,0.000195545
0.22,0.063655104,0.00019363
0.222,0.063631434,0.000191905
0.224,0.063538967,0.000189854
0.226,0.063449853,0.000188098
0.228,0.063401476,0.000188118
0.23,0.063310208,0.000189728
0.232,0.063321288,0.000195754
0.234,0.063296039,0.000197228
